Log start on, 2023-11-02 16:35:23
Feature, Acceleration
NodeName, HostTimestamp (ms), notificationTime, timeStamp, RawData, X (mg), Y (mg), Z (mg)
AM1V430 @A856F0, 11360, Thu Nov 02 16:35:34 GMT+01:00 2023, 11398, [-122 44 85 1 -52 2 85 1 18 -6 125 3 58 5 -36 0 -92 2 20 -2], 341.0, 716.0, 341.0
AM1V430 @A856F0, 11410, Thu Nov 02 16:35:34 GMT+01:00 2023, 11405, [-115 44 -65 1 -97 2 107 1 49 -6 10 5 35 4 -79 0 -108 2 -47 -3], 447.0, 671.0, 363.0
AM1V430 @A856F0, 11464, Thu Nov 02 16:35:34 GMT+01:00 2023, 11411, [-109 44 -95 1 -109 2 -119 2 107 -5 51 7 70 4 -93 0 118 2 -118 -3], 417.0, 659.0, 649.0
AM1V430 @A856F0, 11518, Thu Nov 02 16:35:34 GMT+01:00 2023, 11417, [-103 44 -47 1 96 2 -51 2 49 -5 47 4 106 3 -84 0 89 2 92 -3], 465.0, 608.0, 717.0
AM1V430 @A856F0, 11573, Thu Nov 02 16:35:34 GMT+01:00 2023, 11423, [-97 44 -74 1 -8 1 35 3 88 -3 -39 2 -28 1 -81 0 61 2 56 -3], 438.0, 504.0, 803.0
AM1V430 @A856F0, 11604, Thu Nov 02 16:35:34 GMT+01:00 2023, 11430, [-90 44 -26 1 105 1 -106 3 26 -3 73 1 -58 0 -87 0 43 2 21 -3], 486.0, 361.0, 918.0
AM1V430 @A856F0, 11655, Thu Nov 02 16:35:34 GMT+01:00 2023, 11436, [-84 44 70 1 127 1 2 3 117 -3 65 2 112 1 -76 0 17 2 -7 -4], 326.0, 383.0, 770.0
AM1V430 @A856F0, 11710, Thu Nov 02 16:35:34 GMT+01:00 2023, 11442, [-78 44 62 1 -16 1 -68 3 -33 -6 -39 0 113 2 -79 0 -25 1 -40 -4], 318.0, 496.0, 956.0
AM1V430 @A856F0, 11761, Thu Nov 02 16:35:35 GMT+01:00 2023, 11448, [-72 44 -52 0 -39 0 -44 3 59 -4 56 2 -46 1 -73 0 -64 1 -81 -4], 204.0, 217.0, 980.0
AM1V430 @A856F0, 11816, Thu Nov 02 16:35:35 GMT+01:00 2023, 11455, [-65 44 95 1 -72 0 6 4 39 -5 -18 -1 -12 1 -82 0 -115 1 -108 -4], 351.0, 184.0, 1030.0
AM1V430 @A856F0, 11876, Thu Nov 02 16:35:35 GMT+01:00 2023, 11461, [-59 44 81 1 1 0 -28 3 -92 -3 -111 1 -86 0 -73 0 107 1 -117 -4], 337.0, 1.0, 996.0
AM1V430 @A856F0, 11918, Thu Nov 02 16:35:35 GMT+01:00 2023, 11467, [-53 44 85 1 38 0 38 4 54 -1 0 1 -66 -2 -55 0 95 1 126 -4], 341.0, 38.0, 1062.0
AM1V430 @A856F0, 11952, Thu Nov 02 16:35:35 GMT+01:00 2023, 11473, [-47 44 124 1 23 0 83 4 -9 -1 -57 -1 -37 -3 -43 0 84 1 120 -4], 380.0, 23.0, 1107.0
AM1V430 @A856F0, 12006, Thu Nov 02 16:35:35 GMT+01:00 2023, 11480, [-40 44 103 1 17 0 115 3 -73 0 73 -2 -127 -3 -30 0 89 1 120 -4], 359.0, 17.0, 883.0
AM1V430 @A856F0, 12058, Thu Nov 02 16:35:35 GMT+01:00 2023, 11486, [-34 44 -30 2 -35 -1 93 3 -124 -2 24 -14 -82 -6 -115 0 90 1 -127 -4], 738.0, -35.0, 861.0
AM1V430 @A856F0, 12112, Thu Nov 02 16:35:35 GMT+01:00 2023, 11492, [-28 44 56 3 -47 -1 -46 2 -98 -4 -30 -16 49 -9 -16 -1 90 1 -78 -4], 824.0, -47.0, 722.0
AM1V430 @A856F0, 12163, Thu Nov 02 16:35:35 GMT+01:00 2023, 11498, [-22 44 63 3 -51 -1 -19 1 120 -5 71 -5 -11 -6 -82 -1 78 1 -58 -4], 831.0, -51.0, 493.0
AM1V430 @A856F0, 12224, Thu Nov 02 16:35:35 GMT+01:00 2023, 11505, [-15 44 126 2 14 0 74 1 113 -7 -41 -2 64 -7 -84 -1 51 1 -61 -4], 638.0, 14.0, 330.0
AM1V430 @A856F0, 12269, Thu Nov 02 16:35:35 GMT+01:00 2023, 11511, [-9 44 -114 2 66 0 65 2 40 -7 -98 -1 62 -2 -79 -1 -1 0 -91 -4], 654.0, 66.0, 577.0
AM1V430 @A856F0, 12304, Thu Nov 02 16:35:35 GMT+01:00 2023, 11517, [-3 44 -91 2 -118 0 -52 2 106 -6 -106 2 68 -2 -63 -1 -51 0 -112 -4], 677.0, 138.0, 716.0
AM1V430 @A856F0, 12358, Thu Nov 02 16:35:35 GMT+01:00 2023, 11523, [3 45 124 2 78 0 109 2 31 -5 -86 3 -40 -3 -10 -1 -102 0 120 -4], 636.0, 78.0, 621.0
AM1V430 @A856F0, 12408, Thu Nov 02 16:35:35 GMT+01:00 2023, 11530, [10 45 69 2 4 0 -116 2 -15 -5 -76 6 -25 -2 54 0 111 0 99 -4], 581.0, 4.0, 652.0
AM1V430 @A856F0, 12460, Thu Nov 02 16:35:35 GMT+01:00 2023, 11536, [16 45 89 1 -77 -1 64 4 -28 -5 -10 3 101 0 103 0 46 0 99 -4], 345.0, -77.0, 1088.0
AM1V430 @A856F0, 12513, Thu Nov 02 16:35:35 GMT+01:00 2023, 11542, [22 45 -44 1 -114 -1 31 3 -15 -5 -115 5 -82 -2 -88 0 10 0 88 -4], 468.0, -114.0, 799.0
AM1V430 @A856F0, 12566, Thu Nov 02 16:35:35 GMT+01:00 2023, 11548, [28 45 -7 0 27 -1 7 5 48 -5 -28 -1 98 -2 -73 0 -66 -1 114 -4], 249.0, -229.0, 1287.0
AM1V430 @A856F0, 12619, Thu Nov 02 16:35:35 GMT+01:00 2023, 11555, [35 45 8 2 -46 -2 83 3 -42 -5 -102 1 -57 -6 -72 0 -106 -1 121 -4], 520.0, -302.0, 851.0
